Date,Temperature,Precipitation,Humidity,Visibility,WindSpeed
2017-01-05 18:00:00,-5.0,0.0,72.0,10.0,14.481
2017-01-05 19:00:00,-5.555555555555555,0.0,73.0,4.234999999999999,15.687750000000001
2017-01-05 20:00:00,-5.5555555555555545,0.0,68.33333333333333,7.666666666666667,14.481
2017-01-05 21:00:00,-6.111111111111111,0.0,71.0,9.0,14.481
2017-01-05 22:00:00,-6.481481481481482,0.0,73.0,8.566666666666666,15.553666666666667
2017-01-05 23:00:00,-6.666666666666667,0.0,71.0,8.0,16.09
2017-01-06 00:00:00,-7.222222222222222,0.0,68.0,9.0,20.917
2017-01-06 01:00:00,-7.777777777777779,0.0,68.0,9.35,20.917
2017-01-06 02:00:00,-8.88888888888889,0.0,67.0,10.0,11.263
2017-01-06 03:00:00,-8.88888888888889,0.0,67.0,6.0,11.263
2017-01-06 04:00:00,-9.166666666666668,0.0,68.5,4.295,13.6765
2017-01-06 05:00:00,-9.444444444444445,0.0,64.0,10.0,16.09
2017-01-06 06:00:00,-10.0,0.0,64.0,10.0,17.698999999999998
2017-01-06 07:00:00,-10.0,0.0,63.0,9.979999999999999,16.626333333333335
2017-01-06 08:00:00,-9.444444444444445,0.0,61.0,10.0,12.872
2017-01-06 09:00:00,-9.444444444444445,0.0,61.0,10.0,20.917
2017-01-06 10:00:00,-9.166666666666668,0.0,60.0,9.969999999999999,15.2855
2017-01-06 11:00:00,-8.88888888888889,0.0,56.0,10.0,12.872
2017-01-06 12:00:00,-8.148148148148149,0.0,58.333333333333336,9.333333333333334,13.408333333333333
2017-01-06 13:00:00,-7.777777777777778,0.0,53.0,9.35,12.872
2017-01-06 14:00:00,-7.222222222222222,0.0,49.0,10.0,14.481
2017-01-06 15:00:00,-8.333333333333334,0.0,49.0,10.0,20.917
2017-01-06 16:00:00,-8.61111111111111,0.0,49.0,9.969999999999999,17.699
2017-01-06 17:00:00,-9.444444444444445,0.0,51.0,10.0,12.872
2017-01-06 18:00:00,-9.444444444444445,0.0,51.0,10.0,14.481
2017-01-06 19:00:00,-9.722222222222221,0.0,51.0,9.969999999999999,15.285499999999999
2017-01-06 20:00:00,-10.0,0.0,51.0,10.0,17.698999999999998
2017-01-06 21:00:00,-10.555555555555555,0.0,54.0,10.0,16.09
2017-01-06 22:00:00,-10.833333333333332,0.0,55.0,9.969999999999999,15.285499999999999
2017-01-06 23:00:00,-11.11111111111111,0.0,51.0,10.0,16.09
2017-01-07 00:00:00,-11.11111111111111,0.0,53.0,10.0,22.526
2017-01-07 01:00:00,-11.11111111111111,0.0,54.5,9.969999999999999,19.308
2017-01-07 02:00:00,-11.666666666666666,0.0,55.0,10.0,17.698999999999998
2017-01-07 03:00:00,-11.666666666666666,0.0,55.0,10.0,14.481
2017-01-07 04:00:00,-11.944444444444443,0.0,56.5,9.969999999999999,14.481
2017-01-07 05:00:00,-12.777777777777779,0.0,61.0,10.0,16.09
2017-01-07 06:00:00,-12.777777777777779,0.0,62.5,10.0,15.285499999999999
2017-01-07 07:00:00,-12.777777777777779,0.0,62.5,9.969999999999999,15.285499999999999
2017-01-07 08:00:00,-12.777777777777779,0.0,64.0,9.0,16.09
2017-01-07 09:00:00,-11.666666666666666,0.0,53.0,10.0,16.09
2017-01-07 10:00:00,-11.38888888888889,0.0,53.0,9.969999999999999,14.481
2017-01-07 11:00:00,-10.0,0.0,47.0,10.0,11.263
2017-01-07 12:00:00,-9.444444444444445,0.0,44.0,10.0,9.654
2017-01-07 13:00:00,-8.88888888888889,0.0,44.5,9.969999999999999,13.676499999999999
2017-01-07 14:00:00,-7.222222222222222,0.0,41.0,10.0,17.698999999999998
2017-01-07 15:00:00,-7.222222222222222,0.0,39.0,10.0,14.481
2017-01-07 16:00:00,-7.222222222222222,0.0,40.0,9.969999999999999,12.872
2017-01-07 17:00:00,-8.333333333333334,0.0,47.0,10.0,16.09
2017-01-07 18:00:00,-8.88888888888889,0.0,51.0,10.0,17.698999999999998
2017-01-07 19:00:00,-9.166666666666668,0.0,53.5,9.969999999999999,17.698999999999998
2017-01-07 20:00:00,-10.0,0.0,58.0,10.0,12.872
2017-01-07 21:00:00,-10.0,0.0,61.0,10.0,17.698999999999998
2017-01-07 22:00:00,-10.277777777777779,0.0,62.5,9.969999999999999,15.285499999999999
2017-01-07 23:00:00,-10.0,0.0,61.0,10.0,14.481
2017-01-08 00:00:00,-9.444444444444445,0.0,61.0,10.0,17.698999999999998
2017-01-08 01:00:00,-9.444444444444445,0.0,62.5,9.969999999999999,13.676499999999999
2017-01-08 02:00:00,-9.444444444444445,0.0,64.0,10.0,14.481
2017-01-08 03:00:00,-10.555555555555555,0.0,70.0,10.0,11.263
2017-01-08 04:00:00,-10.833333333333332,0.0,71.5,9.469999999999999,10.4585
2017-01-08 05:00:00,-11.666666666666666,0.0,73.0,9.0,9.654
2017-01-08 06:00:00,-12.222222222222221,0.0,73.0,9.0,8.045
2017-01-08 07:00:00,-12.222222222222221,0.0,73.0,8.35,8.045
2017-01-08 08:00:00,-10.555555555555555,0.0,70.0,7.0,8.045
2017-01-08 09:00:00,-8.88888888888889,0.0,62.0,9.0,0.0
